GeneLabel,ReplacementLabel
mat1d,mat1
mat1e,mat1
mat1i,mat1
mat2,mat2
mat5,mat5
mat,mat
matk,matk
matle,matle
maturase,maturase
mbpx,mbpx
mena,mena
menb,menb
menc,menc
mend,mend
mene,mene
menf,menf
metg,metg
miaa,miaa
minc,minc
mind,mind
minda,mind
mindb,mind
mine,mine
mlae,mlae
mnta,mnta
mntb,mntb
moeb,moeb
mraw,mraw
mray,mray
murc,murc
murd,murd
mure,mure
murg,murg
muri,muri
murz,murz
muts,muts
nad1,ndha
nad2,ndhb
nad5,ndhe
nad6,ndhf
nada,nada
nbla,nbla
nd2,ndhb
ndh,ndh
ndh2,ndhb
ndh3,ndhc
ndh5,ndhe
ndha,ndha
ndhb,ndhb
ndhc,ndhc
ndhd,ndhd
ndhe,ndhe
ndhf,ndhf
ndhg,ndhg
ndhh,ndhh
ndhi',ndhi
ndhi,ndhi
ndhj,ndhj
ndhk,ndhk
ndhl,ndhl
ndkr,ndkr
nifs,nifs
ntca,ntca
nusa,nusa
nusb,nusb
nusg,nusg
odhb,odhb
odpa,odpa
odpb,odpb
ompr,ompr
orf001,orf001
orf002,orf002
orf003,orf003
orf004,orf004
orf01,orf01
orf02,orf02
orf0299,orf0299
orf03,orf03
orf04,orf04
orf05,orf05
orf06,orf06
orf07,orf07
orf08,orf08
orf09,orf09
orf,orf
orf100_1,orf100_1
orf100,orf100
orf100_2,orf100_2
orf1006,orf1006
orf1008,orf1008
orf_10,orf_10
orf101,orf101
orf1014,orf1014
orf1017,orf1017
orf1018,orf1018
orf1022,orf1022
orf102,orf102
orf102a,orf102a
orf102b,orf102b
orf103_1,orf103_1
orf1031,orf1031
orf103_2,orf103_2
orf103,orf103
orf1036,orf1036
orf104,orf104
orf105,orf105
orf10,orf10
orf106,orf106
orf107,orf107
orf1079,orf1079
orf107a,orf107a
orf107b,orf107b
orf108,orf108
orf108a,orf108a
orf109,orf109
orf1099,orf1099
orf110,orf110
orf110a,orf110a
orf_11,orf_11
orf111,orf111
orf112,orf112
orf113,orf113
orf113a,orf113a
orf113b,orf113b
orf_1,orf_1
orf114,orf114
orf115,orf115
orf115a,orf115a
orf116,orf116
orf11,orf11
orf1172,orf1172
orf1173,orf1173
orf117,orf117
orf118,orf118
orf119,orf119
orf119a,orf119a
orf119b,orf119b
orf1202,orf1202
orf120,orf120
orf120a,orf120a
orf120b,orf120b
orf_12,orf_12
orf1,orf1
