GeneLabel,ReplacementLabel
iorf131,iorf131
iorf156,iorf156
iorf160,iorf160
iorf170,iorf170
iorf171,iorf171
iorf179,iorf179
iorf187,iorf187
iorf189,iorf189
iorf195,iorf195
iorf212,iorf212
iorf213,iorf213
iorf239,iorf239
iorf245,iorf245
iorf298,iorf298
iorf461,iorf461
ip10,ip10
ip1,ip1
ip11,ip11
ip12,ip12
ip13,ip13
ip14,ip14
ip15,ip15
ip16,ip16
ip17,ip17
ip18,ip18
ip2,ip2
ip3,ip3
ip4,ip4
ip5,ip5
ip6,ip6
ip7,ip7
ip8,ip8
ip9,ip9
ix2,ix2
ix3,ix3
ix4,ix4
ix5,ix5
lhba,lhba
ltra,ltra
mat,mat
mat-atp1i1050,mat-atp1i1050
mat-atp1i989,mat-atp1i989
mat-atp9i87,mat-atp9i87
mat-cobi824,mat-cobi824
mat-cox1i1149,mat-cox1i1149
mat-cox1i178,mat-cox1i178
mat-cox1i323,mat-cox1i323
mat-cox1i44,mat-cox1i44
mat-cox2i250,mat-cox2i250
mat-mpo1,mat-mpo1
mat-r-1,matr
matr,matr
mat-r,matr
mat-rrnsi1065,mat-rrnsi1065
morf,morf
msh1,msh1
mtt2,mttb
mttb-1,mttb
mttb,mttb
murf1,murf1
murf5,murf5
muts,msh1
na11,nad11
nad10,nad10
nad1_1,nad1
nad11,nad11
nad11-a,nad11
nad11a,nad11
nad11-b,nad11
nad11b,nad11
nad1_2,nad1
nad1,nad1
nad1_a,nad1
nad1_b,nad1
nad1-i1,nad1
nad2,nad2
nad2a,nad2
nad2b,nad2
nad2_copy,nad2
nad2-i1,nad2
nad3,nad3
nad3a,nad3
nad4,nad4
nad4a,nad4
nad4b,nad4
nad4-i1,nad4
nad4l_1,nad4l
nad4l-1,nad4l
nad4l_2,nad4l
nad4l-2,nad4l
nad4l,nad4l
nad5,nad5
nad5i1,nad5
nad5-i1,nad5
nad5-i2,nad5
nad5i2,nad5
nad_6,nad6
nad6_1,nad6
nad6_2,nad6
nad6-2,nad6
nad6,nad6
nad7,nad7
nad8,nad8
nad9-1,nad9
nad9_1,nad9
nad9_2,nad9
nad9,nad9
nad9-rps14,nad9
nadh11,nad11
nadh1,nad1
nadh2,nad2
nadh3,nad3
nadh4,nad4
nadh4l,nad4l
nadh5,nad5
nadh6,nad6
nadh7,nad7
nadh9,nad9
nat1,nat1
nat2,nat2
nd10,nad10
nd11,nad11
nd1,nad1
nd1-i2,nad1
nd2,nad2
nd3,nad3
nd4,nad4
nd4l,nad4l
nd5,nad5
nd5-i1,nad5
nd6,nad6
nd7,nad7
nd8,nad8
nd9,nad9
ndhe,nad5
ndhk,nad11
obi1cob,cytb
obi1nad5,nad5
oi10cox1,cox1
oi11cox1,cox1
oi1_1nad5,nad5
oi12cox1,cox1
oi1_2nad5,nad5
oi13cox1,cox1
oi1atp6,atp6
oi1cob,cytb
oi1cox1,cox1
oi1cox2,cox2
oi1cox3,cox3
oi1nad1,nad1
oi1nad2,nad2
oi1nad4,nad4
oi1nad4l,nad4l
oi1nad5,nad5
oi1nad6,nad6
oi1rnl,rnl
oi1rns,rns
oi1rrnl,rrnl
oi2apt6,atp6
oi2atp6,atp6
oi2cob,cytb
oi2cox1,cox1
oi2cox2,cox2
oi2cox3,cox3
oi2nad1,nad1
oi2nad2,nad2
oi2nad5,nad5
oi2rnl,rnl
oi3cob,cytb
oi3cox1,cox1
oi3cox2,cox2
oi3cox3,cox3
oi3nad1,nad1
oi3nad2,nad2
oi3nad5,nad5
oi3rnl,rnl
oi4cob,cytb
oi4cox1,cox1
oi4cox2,cox2
oi4cox3,cox3
oi4nad5,nad5
oi4rnl,oi4rnl
oi5cob,cytb
oi5cox1,cox1
oi5cox2,cox2
oi5nad5,nad5
oi6cob,cytb
oi6cox1,cox1
oi6cox2,cox2
oi6nad5,nad5
oi7cob,cytb
oi7cox1,cox1
oi7nad5,nad5
oi8cob,cytb
oi8cox1,cox1
oi9cox1,cox1
oirnl,rnl
oirns,rns
oli1,oli1
omp05,omp05
omp21,omp21
omp26,omp26
omp36,omp36
orf001,orf1
orf002,orf2
orf003,orf3
orf004,orf4
orf005,orf5
orf006,orf6
orf008,orf8
orf009,orf9
orf010,orf10
orf_01,orf1
orf011,orf11
orf012,orf122
orf_02,orf2
orf_03,orf3
orf_04,orf4
orf,orf
orf100_1,orf100
orf100_2,orf100
orf100_3,orf100
orf100,orf100
orf100-a1,orf100
orf100a,orf100
orf100-a2,orf100
orf100b,orf100
orf100c,orf100
orf100d,orf100
orf100e,orf100
orf100f,orf100
orf100g,orf100
orf101_1,orf101
orf_101,orf101
orf101_2,orf101
orf101,orf101
orf101_3,orf101
orf101_4,orf101
orf1014,orf1014
orf101_5,orf101
orf101a,orf101
orf101-a,orf101
orf101-b,orf101
orf101b,orf101
orf101-c,orf101
orf101c,orf101
orf101d,orf101
orf101e,orf101
orf101f,orf101
orf102,orf102
orf102-a,orf102
orf102a,orf102
orf102-b,orf102
orf102b,orf102
orf102c,orf102
orf102d,orf102d
orf102e,orf102
orf102f,orf102
orf102g,orf102
orf102h,orf102
orf102i,orf102
orf102j,orf102
orf102k,orf102
orf103_1,orf103
orf103,orf103
orf103_2,orf103
orf1033,orf1033
orf103a-1,orf103
orf103a-2,orf103
orf103a,orf103
orf103b,orf103
orf103c,orf103
orf103d,orf103
orf103e,orf103
orf103f,orf103
orf_104,orf104
orf104_1,orf104
orf104_2,orf104
orf104,orf104
orf104_3,orf104
orf104_4,orf104
orf104_5,orf104
orf104_6,orf104
orf104_7,orf104
orf104-a,orf104
orf104a,orf104
orf104-b,orf104
orf104b,orf104
orf104c,orf104
orf104d,orf104
orf10,orf10
orf105,orf105
orf1053,orf1053
orf105-a,orf1053
orf105a,orf1053
orf105-b,orf1053
orf105b,orf1053
orf105-c,orf1053
orf105c,orf1053
orf105-d,orf1053
orf105d,orf1053
orf105-e,orf1053
orf105-f,orf1053
orf105-g,orf1053
orf105-h,orf1053
orf1060,orf1060
orf106_1,orf106
orf106,orf106
orf106_2,orf106
orf106_3,orf106
orf1064,orf1064
orf1065,orf1065
orf106-a1,orf106
orf106a,orf106
orf106-a2,orf106
orf106-b,orf106
orf106b,orf106
orf106-c,orf106
orf106c,orf106
orf106d,orf106
orf107_1,orf107
orf107_2,orf107
orf107,orf107
orf107_3,orf107
orf107_4,orf107
orf1077,orf107
orf107-a,orf107
orf107a,orf107
orf107-b,orf107
orf107b,orf107
orf107-c,orf107
orf107c,orf107
orf107-d,orf107
orf107d,orf107
orf108_1,orf108
orf108_2,orf108
orf108,orf108
orf108_3,orf108
orf108_4,orf108
orf108_5,orf108
orf108a,orf108
orf108b,orf108
orf108c,orf108
orf108d,orf108
orf108e,orf108
orf108f,orf108
orf109_1,orf109
orf109_2,orf109
orf109,orf109
orf109_3,orf109
orf109_4,orf109
orf109_5,orf109
orf109_6,orf109
orf109_7,orf109
orf1097,orf1097
orf109-a,orf109
orf109a,orf109
orf109b,orf109
orf109-b-ct,orf109
orf109c,orf109
orf109d,orf109
orf-1,orf1
orf110,orf110
orf1103,orf1103
orf1109,orf1109
orf110-a,orf110
orf110a,orf110
orf110-b,orf110
orf110b,orf110
orf110-c,orf110
orf110c,orf110
orf110d,orf110
orf110e,orf110
orf111_1,orf111
orf111,orf111
orf111_2,orf111
orf111-a,orf111
orf111a,orf111
orf111-b,orf111
orf111b,orf111
